Name,Rank,Price,24h Change,"""Market Cap""",Volume,Circ_Supply,Category
TAO,40,285.09 USD,−5.84%,2.41 B USD,131 M USD,8.45 M,"Distributed computing & Storage, Oracles, Data management & AI, DAO, DePIN"
VET,41,0.027554 USD,−4.69%,2.37 B USD,46.31 M USD,85.99 B,"Smart contract platforms, Internet of things, Logistics, Layer 1"
CRO,42,0.087965 USD,+12.12%,2.34 B USD,194.16 M USD,26.57 B,"Smart contract platforms, Centralized-exchange, Payments, Layer 1"
POL,43,0.24608 USD,−2.51%,2.11 B USD,115.15 M USD,8.59 B,—
FDUSD,44,0.99848 USD,+0.00%,2.1 B USD,7.79 B USD,2.1 B,Stablecoins
ALGO,45,0.24279 USD,−3.11%,2.06 B USD,106.36 M USD,8.47 B,"Smart contract platforms, Layer 1, Made in America"
RENDER,46,3.7985 USD,+2.16%,1.97 B USD,105.92 M USD,517.72 M,"Distributed computing & Storage, Data management & AI, NFTs & Collectibles, Scaling, Social, media & Content, Metaverse, Web3, DePIN, Made in America"
FIL,47,3.0563 USD,−1.54%,1.96 B USD,140.71 M USD,642.44 M,"Distributed computing & Storage, Data management & AI, Web3, DePIN, Made in America"
KAS,48,0.075058 USD,+0.29%,1.94 B USD,61.34 M USD,25.82 B,"Cryptocurrencies, Layer 1"
GT,49,21.026 USD,−0.85%,1.8 B USD,14.01 M USD,85.83 M,Centralized-exchange
ARB,50,0.40158 USD,−4.47%,1.77 B USD,208.11 M USD,4.42 B,"Scaling, Web3, DAO"
TIA,51,3.2302 USD,−3.97%,1.78 B USD,97.33 M USD,551.72 M,—
ATOM,52,4.2669 USD,−0.32%,1.67 B USD,105.95 M USD,390.93 M,"Smart contract platforms, Interoperability, Layer 1"
JUP,53,0.60683 USD,−4.16%,1.63 B USD,103.39 M USD,2.69 B,"Decentralized exchange, Derivatives, Interoperability, DeFi"
OP,54,0.9614 USD,−2.46%,1.56 B USD,172.18 M USD,1.62 B,"Scaling, Made in America"
S,55,0.54049 USD,−9.52%,1.56 B USD,180.69 M USD,2.88 B,Layer 1
DEXE,56,18.273 USD,−4.37%,1.53 B USD,13.17 M USD,83.73 M,"Data management & AI, Asset management, DeFi"
FET,57,0.62478 USD,+2.54%,1.49 B USD,131.18 M USD,2.39 B,"Data management & AI, Interoperability, Layer 1"
KCS,58,11.519 USD,+0.92%,1.41 B USD,1.44 M USD,122.61 M,Centralized-exchange
IP,59,5.3658 USD,+1.45%,1.34 B USD,153.25 M USD,250 M,—
ENA,60,0.37704 USD,+3.93%,1.22 B USD,834.24 M USD,3.22 B,DeFi
INJ,61,11.590 USD,−3.22%,1.15 B USD,107.41 M USD,98.97 M,"Smart contract platforms, Data management & AI, Interoperability, DeFi, Web3, Layer 1, Made in America"
XDC,62,0.073151 USD,−1.88%,1.15 B USD,29.59 M USD,15.69 B,"Smart contract platforms, Enterprise solutions, Layer 1"
MOVE,63,0.47191 USD,+15.04%,1.13 B USD,341.09 M USD,2.4 B,"Layer 1, Made in America"
IMX,64,0.61625 USD,−3.78%,1.09 B USD,34.05 M USD,1.77 B,"Developments tools, Gaming, NFTs & Collectibles, Scaling, Marketplace"
MKR,65,"1,278.81 USD",−6.47%,1.09 B USD,117.13 M USD,852.21 K,"Lending & Borrowing, DeFi, DAO, Made in America"
STX,66,0.71096 USD,−2.44%,1.08 B USD,50.82 M USD,1.52 B,"Smart contract platforms, NFTs & Collectibles, DeFi, Metaverse, Web3, Made in America"
SEI,67,0.22589 USD,−2.64%,1.05 B USD,109.94 M USD,4.66 B,"Developments tools, Layer 1, Made in America"
THETA,68,1.0510 USD,−3.01%,1.05 B USD,15.99 M USD,1 B,"Smart contract platforms, Distributed computing & Storage, Data management & AI, Enterprise solutions, Social, media & Content, Web3, Layer 1, DePIN, Made in America"
WLD,69,0.96062 USD,−2.46%,1.04 B USD,166.41 M USD,1.08 B,"Privacy, Identity, Made in America"
LDO,70,1.1524 USD,−2.42%,1.03 B USD,89.36 M USD,897.6 M,"Derivatives, DeFi, DAO"
GRT,71,0.10686 USD,−1.72%,1.02 B USD,48.65 M USD,9.55 B,"Data management & AI, Enterprise solutions, Web3, Made in America"
QNT,72,83.187 USD,−7.81%,1 B USD,33.05 M USD,12.07 M,Interoperability
FLR,73,0.016528 USD,−2.79%,977.28 M USD,9.31 M USD,59.13 B,"Developments tools, Interoperability, Layer 1"
BONK,74,0.000012230 USD,+0.18%,950.51 M USD,99.43 M USD,77.73 T,"Memes, Made in America"
JASMY,75,0.016934 USD,−4.45%,837.3 M USD,41.76 M USD,49.44 B,Internet of things
EOS,76,0.53579 USD,−3.13%,830.87 M USD,81.25 M USD,1.55 B,"Smart contract platforms, Made in America"
XTZ,77,0.76046 USD,−0.26%,785.76 M USD,24.55 M USD,1.03 B,"Smart contract platforms, Layer 1, Made in America"
JTO,78,2.5394 USD,−4.82%,765.62 M USD,89.41 M USD,301.5 M,"Derivatives, DeFi, DAO"
IOTA,79,0.20842 USD,−4.27%,764.83 M USD,37.68 M USD,3.67 B,"Cryptocurrencies, Internet of things, DePIN"
PYUSD,80,0.99898 USD,−0.05%,763.2 M USD,128.09 M USD,763.98 M,"Stablecoins, Asset-backed Stablecoins"
SAND,81,0.30844 USD,−0.98%,760.11 M USD,74.4 M USD,2.46 B,"Gaming, NFTs & Collectibles, Metaverse, Marketplace"
BERA,82,6.8580 USD,+2.10%,737.1 M USD,232.29 M USD,107.48 M,Layer 1
ENS,83,20.675 USD,−0.76%,736 M USD,73.84 M USD,35.6 M,"Identity, Web3, DAO"
NEXO,84,1.1313 USD,−1.73%,730.98 M USD,9.37 M USD,646.15 M,"Lending & Borrowing, Payments"
XAUT,85,"2,910.38 USD",+0.13%,717.48 M USD,3.92 M USD,246.52 K,Asset-backed Tokens
BTT,86,0.00000072000 USD,+1.54%,714.41 M USD,35.88 M USD,986.06 T,"Distributed computing & Storage, Web3, DePIN"
BSV,87,35.608 USD,−4.35%,706.25 M USD,66.01 M USD,19.83 M,"Cryptocurrencies, Scaling"
FLOKI,88,0.000072680 USD,−2.95%,699.76 M USD,89.73 M USD,9.63 T,"Memes, Gaming, Metaverse"
GALA,89,0.018417 USD,−0.12%,696.95 M USD,71.44 M USD,37.84 B,"Gaming, NFTs & Collectibles, Made in America"
KAIA,90,0.11562 USD,−2.57%,689.23 M USD,13.28 M USD,5.96 B,"Enterprise solutions, Layer 1"
FLOW,91,0.43284 USD,−4.36%,678.75 M USD,36.92 M USD,1.57 B,"Smart contract platforms, NFTs & Collectibles, Sports, Layer 1"
PYTH,92,0.18034 USD,−1.78%,653.73 M USD,27.9 M USD,3.62 B,"Oracles, Interoperability"
NEO,93,8.9485 USD,−1.88%,631.22 M USD,26.58 M USD,70.54 M,"Smart contract platforms, Enterprise solutions"
PAXG,94,"2,930.97 USD",−0.11%,614.22 M USD,31.9 M USD,209.56 K,Asset-backed Tokens
RAY,95,2.0499 USD,−5.16%,596.21 M USD,48.45 M USD,290.85 M,"Decentralized exchange, DeFi"
HNT,96,3.3208 USD,+0.48%,594.48 M USD,7.69 M USD,179.02 M,"Internet of things, Enterprise solutions, Web3, DePIN, Made in America"
EGLD,97,20.464 USD,−4.54%,571.9 M USD,23.99 M USD,27.95 M,"Smart contract platforms, Gaming, Distributed computing & Storage, Identity, Scaling, Enterprise solutions, Payments, Loyalty & Rewards, DeFi, Metaverse, Web3, Layer 1, DePIN"
RON,98,0.91330 USD,−2.20%,565.69 M USD,10.07 M USD,619.39 M,"Smart contract platforms, Gaming, NFTs & Collectibles, Layer 1"
WIF,99,0.56398 USD,−2.58%,563.33 M USD,360.26 M USD,998.84 M,Memes
AXS,100,3.4811 USD,−1.52%,554.3 M USD,31.67 M USD,159.23 M,"Gaming, NFTs & Collectibles, Metaverse"
CRV,101,0.41978 USD,−4.30%,542.18 M USD,92.02 M USD,1.29 B,"Decentralized exchange, DeFi, DAO"
MANA,102,0.27832 USD,−4.33%,540.57 M USD,45.12 M USD,1.94 B,"Gaming, NFTs & Collectibles, Metaverse"
ZEC,103,33.925 USD,−7.35%,538.96 M USD,63.64 M USD,15.89 M,"Privacy, Cryptocurrencies, Layer 1, Made in America"
GRASS,104,2.2075 USD,−9.56%,538.42 M USD,56.91 M USD,243.91 M,"Data management & AI, DePIN"
STRK,105,0.18619 USD,+0.29%,510.81 M USD,34.24 M USD,2.74 B,"Scaling, Web3"
VIRTUAL,106,0.78060 USD,−10.72%,506.97 M USD,94.41 M USD,649.46 M,"Data management & AI, Metaverse"
CAKE,107,1.7338 USD,−2.45%,501.57 M USD,41.68 M USD,289.29 M,"Decentralized exchange, DeFi"
FTT,108,1.5053 USD,+0.37%,495.09 M USD,16.37 M USD,328.9 M,"Centralized-exchange, Derivatives"
TUSD,109,0.99781 USD,+0.01%,494.43 M USD,53.82 M USD,495.52 M,"Stablecoins, Asset-backed Stablecoins"
CFX,110,0.09885 USD,−3.42%,487.31 M USD,33.59 M USD,4.93 B,"Smart contract platforms, Interoperability, DeFi, Web3"
DYDX,111,0.64549 USD,−0.46%,480.28 M USD,22.78 M USD,744.06 M,"Decentralized exchange, Made in America"
AERO,112,0.60514 USD,−0.50%,478.63 M USD,41.31 M USD,790.95 M,"Decentralized exchange, DeFi, Made in America"
XCN,113,0.014640 USD,−6.00%,477.16 M USD,51.65 M USD,32.59 B,"Enterprise solutions, Made in America"
AR,114,7.2156 USD,−4.81%,473.72 M USD,26.07 M USD,65.65 M,"Distributed computing & Storage, Web3, DePIN"
KAVA,115,0.43674 USD,−3.82%,472.93 M USD,21.47 M USD,1.08 B,"Smart contract platforms, Web3, Layer 1"
MATIC,116,0.24726 USD,−2.25%,473.2 M USD,4.03 M USD,1.91 B,Scaling
CORE,117,0.46177 USD,−4.42%,460.04 M USD,33.06 M USD,996.24 M,"Scaling, Web3, DAO"
XEC,118,0.000022810 USD,−2.92%,452.41 M USD,33.89 M USD,19.83 T,"Cryptocurrencies, Layer 1"
CHZ,119,0.047820 USD,−1.75%,451.77 M USD,58.46 M USD,9.45 B,"Loyalty & Rewards, Sports, Layer 1"
NFT,120,0.00000044000 USD,+1.39%,439.62 M USD,34.3 M USD,999.99 T,"NFTs & Collectibles, Marketplace"
SPX,121,0.47703 USD,−1.42%,444.11 M USD,21.04 M USD,930.99 M,Memes
COMP,122,48.247 USD,−6.02%,428.01 M USD,29.46 M USD,8.87 M,"Lending & Borrowing, DeFi, DAO, Made in America"
RUNE,123,1.2109 USD,−0.77%,426.05 M USD,187.59 M USD,351.84 M,"Decentralized exchange, DeFi, Layer 1"
TWT,124,1.0127 USD,−3.67%,421.94 M USD,15.53 M USD,416.65 M,Payments
APE,125,0.55779 USD,−1.66%,419.82 M USD,60.9 M USD,752.65 M,NFTs & Collectibles
MELANIA,126,0.77584 USD,−5.11%,416.87 M USD,26.98 M USD,537.31 M,"Memes, Made in America"
BRETT,127,0.041115 USD,−2.23%,407.46 M USD,27.53 M USD,9.91 B,Memes
PENDLE,128,2.4351 USD,−2.28%,403.52 M USD,49.24 M USD,165.71 M,"Social, media & Content, DeFi, Web3"
KAITO,129,1.6146 USD,−9.44%,389.75 M USD,365.53 M USD,241.39 M,—
PENGU,130,0.0062770 USD,−4.98%,394.57 M USD,54.99 M USD,62.86 B,"Memes, NFTs & Collectibles, Made in America"
AXL,131,0.41700 USD,+6.56%,386.57 M USD,48.35 M USD,927.02 M,"Interoperability, Made in America"
DEEP,132,0.12780 USD,+0.45%,378.93 M USD,24.64 M USD,2.96 B,"Decentralized exchange, DeFi"
AIOZ,133,0.32649 USD,−4.22%,379.13 M USD,12.37 M USD,1.16 B,"Distributed computing & Storage, Data management & AI, Web3, Layer 1, DePIN"
MORPHO,134,1.6081 USD,−5.95%,379.39 M USD,18.58 M USD,235.93 M,"Lending & Borrowing, DeFi"
AMP,135,0.0044572 USD,−2.21%,375.44 M USD,12.27 M USD,84.23 B,"Payments, DeFi, Made in America"
RSR,136,0.0065063 USD,−3.88%,362.58 M USD,28.05 M USD,55.73 B,"Cryptocurrencies, Made in America"
GNO,137,139.80 USD,−1.18%,361.75 M USD,4.42 M USD,2.59 M,"Prediction markets, DeFi, Layer 1"
MINA,138,0.28975 USD,−1.93%,353.1 M USD,18.34 M USD,1.22 B,"Smart contract platforms, Layer 1"
LUNC,139,0.000063890 USD,−2.25%,348.79 M USD,13.79 M USD,5.46 T,"Smart contract platforms, Payments, Layer 1"
BEAM,140,0.0067525 USD,−3.12%,334.02 M USD,20.19 M USD,49.47 B,Gaming
AKT,141,1.3475 USD,−3.98%,334.57 M USD,5.9 M USD,248.29 M,"Distributed computing & Storage, Data management & AI, Web3, DePIN, Made in America"
EIGEN,142,1.3908 USD,−6.35%,326.81 M USD,53.92 M USD,234.98 M,Made in America
1INCH,143,0.23098 USD,−0.86%,317.83 M USD,24.07 M USD,1.38 B,"Decentralized exchange, Payments, DeFi"
JST,144,0.032065 USD,−1.42%,317.44 M USD,38.31 M USD,9.9 B,DeFi
ZK,145,0.083986 USD,−2.26%,308.65 M USD,33.14 M USD,3.67 B,—
W,146,0.10404 USD,−6.01%,300.86 M USD,28.27 M USD,2.89 B,"NFTs & Collectibles, Interoperability, DeFi, Web3, DAO"
AI16Z,147,0.27468 USD,−5.42%,302.15 M USD,70.07 M USD,1.1 B,"Memes, Data management & AI"
CTC,148,0.69309 USD,+1.02%,297.62 M USD,18.4 M USD,429.42 M,Lending & Borrowing
SNX,149,0.88086 USD,−7.43%,299.02 M USD,19.72 M USD,339.47 M,"Decentralized exchange, Derivatives, DeFi, DAO"
GLM,150,0.29753 USD,−4.71%,297.53 M USD,17.58 M USD,1 B,"Distributed computing & Storage, Data management & AI, Payments, Web3, DePIN"
DASH,151,24.472 USD,−0.67%,297.85 M USD,43.93 M USD,12.17 M,"Privacy, Cryptocurrencies, DAO, Made in America"
SFP,152,0.59309 USD,−1.25%,296.55 M USD,9.23 M USD,500 M,Payments
FARTCOIN,153,0.29331 USD,+5.79%,293.31 M USD,193.83 M USD,1 B,Memes
KSM,154,18.018 USD,−2.29%,291.83 M USD,11.8 M USD,16.2 M,"Smart contract platforms, Made in America"
SUPER,155,0.57963 USD,−2.94%,291.61 M USD,19.82 M USD,503.1 M,"Gaming, NFTs & Collectibles"
TFUEL,156,0.042420 USD,−0.33%,291.23 M USD,6.12 M USD,6.87 B,"Smart contract platforms, Distributed computing & Storage, Social, media & Content, Metaverse, DePIN, Made in America"
MX,157,3.0404 USD,−0.37%,288.7 M USD,24.59 M USD,94.95 M,Centralized-exchange
BNX,158,0.73139 USD,−12.32%,272.01 M USD,62.74 M USD,371.9 M,"Gaming, NFTs & Collectibles, Metaverse, Marketplace, Web3"
CKB,159,0.0057761 USD,−6.15%,266.13 M USD,15.59 M USD,46.07 B,"Smart contract platforms, Scaling"
NOT,160,0.0025935 USD,−1.47%,265.72 M USD,86.47 M USD,102.46 B,"Memes, Gaming, Web3, Tap to earn"
BLUR,161,0.11643 USD,−3.30%,260.11 M USD,23.3 M USD,2.23 B,"NFTs & Collectibles, Made in America"
SATS,162,0.00000012000 USD,−0.69%,258.72 M USD,18.73 M USD,"2,100 T",—
ASTR,163,0.033302 USD,−3.34%,253.43 M USD,13.21 M USD,7.61 B,"Smart contract platforms, Interoperability, Scaling, Web3, Layer 1"
ROSE,164,0.035675 USD,−2.06%,252.01 M USD,17.67 M USD,7.06 B,"Privacy, Smart contract platforms, Data management & AI, Layer 1"
ZIL,165,0.012706 USD,−2.00%,249.2 M USD,15 M USD,19.61 B,"Smart contract platforms, Layer 1"
SAFE,166,0.46847 USD,−2.90%,247.08 M USD,10.53 M USD,527.42 M,Payments
QTUM,167,2.2993 USD,−2.66%,242.69 M USD,42.83 M USD,105.55 M,Smart contract platforms
BAT,168,0.15938 USD,−0.88%,238.38 M USD,15.93 M USD,1.5 B,"Smart contract platforms, Data management & AI, Interoperability, Social, media & Content, Marketing, Web3, Made in America"
ZRO,169,2.1572 USD,−3.80%,237.29 M USD,32.27 M USD,110 M,Interoperability
LPT,170,6.0479 USD,−3.63%,233.46 M USD,17.93 M USD,38.6 M,"Distributed computing & Storage, Data management & AI, Social, media & Content, Web3, DePIN"
ZKJ,171,2.0428 USD,−0.81%,229.82 M USD,6.37 M USD,112.5 M,Interoperability
ZRX,172,0.27105 USD,−3.14%,229.96 M USD,30.71 M USD,848.4 M,"Decentralized exchange, DeFi, DAO, Made in America"
VTHO,173,0.0026293 USD,−3.46%,228.63 M USD,16.58 M USD,86.95 B,Smart contract platforms
POPCAT,174,0.23171 USD,+4.85%,227.07 M USD,62.39 M USD,979.97 M,Memes
ATH,175,0.033615 USD,−7.61%,225.14 M USD,18.15 M USD,6.7 B,"Distributed computing & Storage, Data management & AI, DePIN"
WEMIX,176,0.52409 USD,+15.49%,219.07 M USD,3.85 M USD,418 M,"Gaming, Scaling, Marketplace"
HOT,177,0.0012754 USD,+0.04%,223.16 M USD,11.44 M USD,174.97 B,"Developments tools, Distributed computing & Storage, DePIN"
XCH,178,15.870 USD,−3.36%,221.51 M USD,11.24 M USD,13.96 M,"Smart contract platforms, Layer 1"
MASK,179,2.1956 USD,−0.21%,219.56 M USD,26.62 M USD,100 M,"Privacy, Social, media & Content, Web3"
ACH,180,0.024754 USD,−6.63%,217.17 M USD,30.81 M USD,8.77 B,Payments
ID,181,0.23869 USD,−1.91%,214.37 M USD,13.28 M USD,898.11 M,"Identity, Web3"
ORDI,182,10.126 USD,−5.40%,212.65 M USD,77.97 M USD,21 M,NFTs & Collectibles
CELO,183,0.36970 USD,−3.11%,208.98 M USD,18.01 M USD,565.27 M,"Smart contract platforms, Payments, Layer 1, Made in America"
CVX,184,2.1160 USD,−5.85%,208.75 M USD,13.25 M USD,98.65 M,DeFi
BABYDOGE,185,0.0000000000000 USD,−2.31%,207.67 M USD,20.82 M USD,"163,712.27 T","Memes, Decentralized exchange, Gaming, Data management & AI, NFTs & Collectibles, Interoperability, Payments, Social, media & Content, Marketing, Loyalty & Rewards, DeFi, Marketplace, Web3, Tap to earn"
OSMO,186,0.28772 USD,−0.25%,205.5 M USD,10.13 M USD,714.23 M,"Smart contract platforms, Decentralized exchange"
MOG,187,0.00000052000 USD,−1.88%,204.62 M USD,11.57 M USD,390.57 T,Memes
GAS,188,3.1374 USD,−2.40%,203.91 M USD,5.38 M USD,64.99 M,"Cryptocurrencies, Payments"
DCR,189,11.870 USD,−0.89%,197.8 M USD,2.1 M USD,16.66 M,"Cryptocurrencies, DAO"
DRIFT,190,0.68066 USD,−5.75%,195.99 M USD,40.4 M USD,287.95 M,"Decentralized exchange, Derivatives"
R,191,0.69719 USD,−14.67%,195.21 M USD,103.84 M USD,280 M,—
MOCA,192,0.10120 USD,−0.97%,193.76 M USD,25.75 M USD,1.91 B,"NFTs & Collectibles, Metaverse"
SC,193,0.0034309 USD,−2.00%,192.22 M USD,17.54 M USD,56.03 B,"Distributed computing & Storage, Web3, DePIN"
ETHFI,194,0.82616 USD,−3.61%,191.39 M USD,69.84 M USD,231.67 M,DeFi
ONE,195,0.013254 USD,−1.04%,191.73 M USD,16.27 M USD,14.47 B,"Smart contract platforms, Layer 1"
ANKR,196,0.018901 USD,−2.91%,189.01 M USD,11.4 M USD,10 B,"Distributed computing & Storage, Derivatives, Enterprise solutions, Web3, DePIN, Made in America"
PNUT,197,0.19271 USD,−4.92%,192.68 M USD,208.37 M USD,999.85 M,Memes
MEW,198,0.0020958 USD,−2.26%,186.29 M USD,19.04 M USD,88.89 B,Memes
RVN,199,0.012529 USD,−4.48%,186.66 M USD,9.18 M USD,14.9 B,"Cryptocurrencies, DeFi, Made in America"
SUSHI,200,0.69906 USD,−4.61%,186.67 M USD,36.84 M USD,267.04 M,"Decentralized exchange, DeFi, DAO"
STETH,201,"2,190.50 USD",−0.94%,20.54 B USD,54.93 M USD,9.38 M,"Derivatives, DeFi"
SMART,202,0.0017670 USD,+0.14%,15.9 B USD,483.05 K USD,9 T,Smart contract platforms
TLC,203,125.42 USD,−4.36%,12.54 B USD,575.64 K USD,100 M,—
WBTC,204,"88,077.82 USD",−1.52%,11.38 B USD,271.78 M USD,129.18 K,"Wrapped Tokens, Cryptocurrencies"
EDLC,205,4.2660 USD,−1.12%,11.3 B USD,10.35 K USD,2.65 B,"Stablecoins, Asset-backed Stablecoins"
WSTETH,206,"2,621.62 USD",−0.84%,9.57 B USD,13.34 M USD,3.65 M,Derivatives
USDS,207,0.99806 USD,−0.05%,8.24 B USD,14.04 M USD,8.26 B,"Stablecoins, Asset-backed Stablecoins"
WETH,208,"2,198.58 USD",−1.05%,7.42 B USD,792.28 M USD,3.38 M,Wrapped Tokens
WBETH,209,"2,329.62 USD",−0.90%,4.69 B USD,10.63 M USD,2.01 M,Derivatives
WEETH,210,"2,324.24 USD",−0.93%,4.44 B USD,2.38 M USD,1.91 M,"Wrapped Tokens, DeFi"
ZETRIX,211,15.982 USD,+1.77%,3.61 B USD,603.07 K USD,225.78 M,—
SUSDE,212,1.1581 USD,+0.08%,3.47 B USD,11.18 M USD,3 B,"Stablecoins, Asset-backed Stablecoins"
NXQ,213,135.73 USD,−0.22%,2.85 B USD,211.47 K USD,21 M,—
WBT,214,29.658 USD,−2.05%,2.57 B USD,53.81 M USD,86.61 M,—
JITOSOL,215,169.52 USD,−1.23%,2.32 B USD,34.43 M USD,13.7 M,Derivatives
CBBTC,216,"88,196.02 USD",−1.61%,2.3 B USD,153.95 M USD,26.08 K,Wrapped Tokens
L1X,217,12.183 USD,+0.22%,2.23 B USD,60.75 K USD,182.82 M,—
RYO,218,9.813 USD,−3.17%,2.15 B USD,2.75 M USD,218.8 M,—
LBTC,219,"88,284.16 USD",−1.56%,1.81 B USD,1.05 M USD,20.49 K,—
FTN,220,3.9921 USD,−0.15%,1.74 B USD,121.44 M USD,436.26 M,—
HTX,221,0.0000017400 USD,−1.87%,1.74 B USD,25.12 M USD,999.99 T,Centralized-exchange
LEMX,222,49.589 USD,+5.62%,1.74 B USD,848.81 K USD,35 M,—
MRS,223,20.011 USD,+44.76%,1.69 B USD,6.91 K USD,84.24 M,—
JSET,224,3.9575 USD,−12.55%,1.39 B USD,53.01 K USD,350 M,—
SDAI,225,1.1493 USD,−0.05%,1.3 B USD,7.78 M USD,1.13 B,"Stablecoins, Asset-backed Stablecoins"
BIT,226,0.70730 USD,−8.30%,1.3 B USD,7.92 K USD,1.84 B,DAO
RSETH,227,"2,276.33 USD",−0.74%,1.25 B USD,377.31 K USD,547.64 K,Derivatives
JSM,228,0.00050499 USD,+0.62%,1.21 B USD,17.26 K USD,2.4 T,—
SKY,229,0.053414 USD,−6.32%,1.2 B USD,4.89 M USD,22.4 B,"Cryptocurrencies, Lending & Borrowing, DAO"
RETH,230,"2,469.49 USD",−0.72%,1.11 B USD,832.1 K USD,450.85 K,Derivatives
