Name,Rank,Price,24h Change,Market Cap,Volume,Circ_Supply,Category
OP,54.0,0.9614,-2.46,1560000000.0,172180000.0,1620000000.0,"Scaling, Made in America"
S,55.0,0.54049,-9.52,1560000000.0,180690000.0,2880000000.0,Layer 1
DEXE,56.0,18.273,-4.37,1530000000.0,13170000.0,83730000.0,"Data management & AI, Asset management, DeFi"
FET,57.0,0.62478,2.54,1490000000.0,131180000.0,2390000000.0,"Data management & AI, Interoperability, Layer 1"
KCS,58.0,11.519,0.92,1410000000.0,1440000.0,122610000.0,Centralized-exchange
IP,59.0,5.3658,1.45,1340000000.0,153250000.0,250000000.0,—
ENA,60.0,0.37704,3.93,1220000000.0,834240000.0,3220000000.0,DeFi
INJ,61.0,11.59,-3.22,1150000000.0,107410000.0,98970000.0,"Smart contract platforms, Data management & AI, Interoperability, DeFi, Web3, Layer 1, Made in America"
XDC,62.0,0.073151,-1.88,1150000000.0,29590000.0,15690000000.0,"Smart contract platforms, Enterprise solutions, Layer 1"
MOVE,63.0,0.47191,15.04,1130000000.0,341090000.0,2400000000.0,"Layer 1, Made in America"
IMX,64.0,0.61625,-3.78,1090000000.0,34050000.0,1770000000.0,"Developments tools, Gaming, NFTs & Collectibles, Scaling, Marketplace"
MKR,65.0,1278.81,-6.47,1090000000.0,117130000.0,852210.0,"Lending & Borrowing, DeFi, DAO, Made in America"
STX,66.0,0.71096,-2.44,1080000000.0,50820000.0,1520000000.0,"Smart contract platforms, NFTs & Collectibles, DeFi, Metaverse, Web3, Made in America"
SEI,67.0,0.22589,-2.64,1050000000.0,109940000.0,4660000000.0,"Developments tools, Layer 1, Made in America"
THETA,68.0,1.051,-3.01,1050000000.0,15990000.0,1000000000.0,"Smart contract platforms, Distributed computing & Storage, Data management & AI, Enterprise solutions, Social, media & Content, Web3, Layer 1, DePIN, Made in America"
WLD,69.0,0.96062,-2.46,1040000000.0,166410000.0,1080000000.0,"Privacy, Identity, Made in America"
LDO,70.0,1.1524,-2.42,1030000000.0,89360000.0,897600000.0,"Derivatives, DeFi, DAO"
GRT,71.0,0.10686,-1.72,1020000000.0,48650000.0,9550000000.0,"Data management & AI, Enterprise solutions, Web3, Made in America"
QNT,72.0,83.187,-7.81,1000000000.0,33049999.999999996,12070000.0,Interoperability
FLR,73.0,0.016528,-2.79,977280000.0,9310000.0,59130000000.0,"Developments tools, Interoperability, Layer 1"
BONK,74.0,1.223e-05,0.18,950510000.0,99430000.0,77730000000000.0,"Memes, Made in America"
JASMY,75.0,0.016934,-4.45,837300000.0,41760000.0,49440000000.0,Internet of things
EOS,76.0,0.53579,-3.13,830870000.0,81250000.0,1550000000.0,"Smart contract platforms, Made in America"
XTZ,77.0,0.76046,-0.26,785760000.0,24550000.0,1030000000.0,"Smart contract platforms, Layer 1, Made in America"
JTO,78.0,2.5394,-4.82,765620000.0,89410000.0,301500000.0,"Derivatives, DeFi, DAO"
IOTA,79.0,0.20842,-4.27,764830000.0,37680000.0,3670000000.0,"Cryptocurrencies, Internet of things, DePIN"
PYUSD,80.0,0.99898,-0.05,763200000.0,128090000.0,763980000.0,"Stablecoins, Asset-backed Stablecoins"
SAND,81.0,0.30844,-0.98,760110000.0,74400000.0,2460000000.0,"Gaming, NFTs & Collectibles, Metaverse, Marketplace"
BERA,82.0,6.858,2.1,737100000.0,232290000.0,107480000.0,Layer 1
ENS,83.0,20.675,-0.76,736000000.0,73840000.0,35600000.0,"Identity, Web3, DAO"
NEXO,84.0,1.1313,-1.73,730980000.0,9370000.0,646150000.0,"Lending & Borrowing, Payments"
XAUT,85.0,2910.38,0.13,717480000.0,3920000.0,246520.0,Asset-backed Tokens
BTT,86.0,7.2e-07,1.54,714410000.0,35880000.0,986060000000000.0,"Distributed computing & Storage, Web3, DePIN"
BSV,87.0,35.608,-4.35,706250000.0,66010000.00000001,19830000.0,"Cryptocurrencies, Scaling"
FLOKI,88.0,7.268e-05,-2.95,699760000.0,89730000.0,9630000000000.0,"Memes, Gaming, Metaverse"
GALA,89.0,0.018417,-0.12,696950000.0,71440000.0,37840000000.0,"Gaming, NFTs & Collectibles, Made in America"
KAIA,90.0,0.11562,-2.57,689230000.0,13280000.0,5960000000.0,"Enterprise solutions, Layer 1"
FLOW,91.0,0.43284,-4.36,678750000.0,36920000.0,1570000000.0,"Smart contract platforms, NFTs & Collectibles, Sports, Layer 1"
PYTH,92.0,0.18034,-1.78,653730000.0,27900000.0,3620000000.0,"Oracles, Interoperability"
NEO,93.0,8.9485,-1.88,631220000.0,26580000.0,70540000.0,"Smart contract platforms, Enterprise solutions"
PAXG,94.0,2930.97,-0.11,614220000.0,31900000.0,209560.0,Asset-backed Tokens
RAY,95.0,2.0499,-5.16,596210000.0,48450000.0,290850000.0,"Decentralized exchange, DeFi"
HNT,96.0,3.3208,0.48,594480000.0,7690000.0,179020000.0,"Internet of things, Enterprise solutions, Web3, DePIN, Made in America"
EGLD,97.0,20.464,-4.54,571900000.0,23990000.0,27950000.0,"Smart contract platforms, Gaming, Distributed computing & Storage, Identity, Scaling, Enterprise solutions, Payments, Loyalty & Rewards, DeFi, Metaverse, Web3, Layer 1, DePIN"
RON,98.0,0.9133,-2.2,565690000.0,10070000.0,619390000.0,"Smart contract platforms, Gaming, NFTs & Collectibles, Layer 1"
WIF,99.0,0.56398,-2.58,563330000.0,360260000.0,998840000.0,Memes
AXS,100.0,3.4811,-1.52,554300000.0,31670000.0,159230000.0,"Gaming, NFTs & Collectibles, Metaverse"
CRV,101.0,0.41978,-4.3,542180000.0,92020000.0,1290000000.0,"Decentralized exchange, DeFi, DAO"
MANA,102.0,0.27832,-4.33,540570000.0,45120000.0,1940000000.0,"Gaming, NFTs & Collectibles, Metaverse"
ZEC,103.0,33.925,-7.35,538960000.0,63640000.0,15890000.0,"Privacy, Cryptocurrencies, Layer 1, Made in America"
GRASS,104.0,2.2075,-9.56,538420000.0,56910000.0,243910000.0,"Data management & AI, DePIN"
STRK,105.0,0.18619,0.29,510810000.0,34240000.0,2740000000.0,"Scaling, Web3"
VIRTUAL,106.0,0.7806,-10.72,506970000.0,94410000.0,649460000.0,"Data management & AI, Metaverse"
CAKE,107.0,1.7338,-2.45,501570000.0,41680000.0,289290000.0,"Decentralized exchange, DeFi"
FTT,108.0,1.5053,0.37,495090000.0,16370000.000000002,328900000.0,"Centralized-exchange, Derivatives"
TUSD,109.0,0.99781,0.01,494430000.0,53820000.0,495520000.0,"Stablecoins, Asset-backed Stablecoins"
CFX,110.0,0.09885,-3.42,487310000.0,33590000.0,4930000000.0,"Smart contract platforms, Interoperability, DeFi, Web3"
DYDX,111.0,0.64549,-0.46,480280000.0,22780000.0,744060000.0,"Decentralized exchange, Made in America"
AERO,112.0,0.60514,-0.5,478630000.0,41310000.0,790950000.0,"Decentralized exchange, DeFi, Made in America"
XCN,113.0,0.01464,-6.0,477160000.0,51650000.0,32590000000.000004,"Enterprise solutions, Made in America"
AR,114.0,7.2156,-4.81,473720000.0,26070000.0,65650000.00000001,"Distributed computing & Storage, Web3, DePIN"
KAVA,115.0,0.43674,-3.82,472930000.0,21470000.0,1080000000.0,"Smart contract platforms, Web3, Layer 1"
MATIC,116.0,0.24726,-2.25,473200000.0,4030000.0000000005,1910000000.0,Scaling
CORE,117.0,0.46177,-4.42,460040000.0,33060000.000000004,996240000.0,"Scaling, Web3, DAO"
XEC,118.0,2.281e-05,-2.92,452410000.0,33890000.0,19830000000000.0,"Cryptocurrencies, Layer 1"
CHZ,119.0,0.04782,-1.75,451770000.0,58460000.0,9450000000.0,"Loyalty & Rewards, Sports, Layer 1"
NFT,120.0,4.4e-07,1.39,439620000.0,34300000.0,999990000000000.0,"NFTs & Collectibles, Marketplace"
SPX,121.0,0.47703,-1.42,444110000.0,21040000.0,930990000.0,Memes
COMP,122.0,48.247,-6.02,428010000.0,29460000.0,8870000.0,"Lending & Borrowing, DeFi, DAO, Made in America"
RUNE,123.0,1.2109,-0.77,426050000.0,187590000.0,351840000.0,"Decentralized exchange, DeFi, Layer 1"
TWT,124.0,1.0127,-3.67,421940000.0,15530000.0,416650000.0,Payments
APE,125.0,0.55779,-1.66,419820000.0,60900000.0,752650000.0,NFTs & Collectibles
MELANIA,126.0,0.77584,-5.11,416870000.0,26980000.0,537310000.0,"Memes, Made in America"
BRETT,127.0,0.041115,-2.23,407460000.0,27530000.0,9910000000.0,Memes
PENDLE,128.0,2.4351,-2.28,403520000.0,49240000.0,165710000.0,"Social, media & Content, DeFi, Web3"
KAITO,129.0,1.6146,-9.44,389750000.0,365530000.0,241390000.0,—
PENGU,130.0,0.006277,-4.98,394570000.0,54990000.0,62860000000.0,"Memes, NFTs & Collectibles, Made in America"
AXL,131.0,0.417,6.56,386570000.0,48350000.0,927020000.0,"Interoperability, Made in America"
DEEP,132.0,0.1278,0.45,378930000.0,24640000.0,2960000000.0,"Decentralized exchange, DeFi"
AIOZ,133.0,0.32649,-4.22,379130000.0,12370000.0,1160000000.0,"Distributed computing & Storage, Data management & AI, Web3, Layer 1, DePIN"
MORPHO,134.0,1.6081,-5.95,379390000.0,18580000.0,235930000.0,"Lending & Borrowing, DeFi"
AMP,135.0,0.0044572,-2.21,375440000.0,12270000.0,84230000000.0,"Payments, DeFi, Made in America"
RSR,136.0,0.0065063,-3.88,362580000.0,28050000.0,55730000000.0,"Cryptocurrencies, Made in America"
GNO,137.0,139.8,-1.18,361750000.0,4420000.0,2590000.0,"Prediction markets, DeFi, Layer 1"
MINA,138.0,0.28975,-1.93,353100000.0,18340000.0,1220000000.0,"Smart contract platforms, Layer 1"
LUNC,139.0,6.389e-05,-2.25,348790000.0,13790000.0,5460000000000.0,"Smart contract platforms, Payments, Layer 1"
BEAM,140.0,0.0067525,-3.12,334020000.0,20190000.0,49470000000.0,Gaming
AKT,141.0,1.3475,-3.98,334570000.0,5900000.0,248290000.0,"Distributed computing & Storage, Data management & AI, Web3, DePIN, Made in America"
EIGEN,142.0,1.3908,-6.35,326810000.0,53920000.0,234980000.0,Made in America
1INCH,143.0,0.23098,-0.86,317830000.0,24070000.0,1380000000.0,"Decentralized exchange, Payments, DeFi"
JST,144.0,0.032065,-1.42,317440000.0,38310000.0,9900000000.0,DeFi
ZK,145.0,0.083986,-2.26,308650000.0,33140000.0,3670000000.0,—
W,146.0,0.10404,-6.01,300860000.0,28270000.0,2890000000.0,"NFTs & Collectibles, Interoperability, DeFi, Web3, DAO"
AI16Z,147.0,0.27468,-5.42,302150000.0,70070000.0,1100000000.0,"Memes, Data management & AI"
CTC,148.0,0.69309,1.02,297620000.0,18400000.0,429420000.0,Lending & Borrowing
SNX,149.0,0.88086,-7.43,299020000.0,19720000.0,339470000.0,"Decentralized exchange, Derivatives, DeFi, DAO"
GLM,150.0,0.29753,-4.71,297530000.0,17580000.0,1000000000.0,"Distributed computing & Storage, Data management & AI, Payments, Web3, DePIN"
DASH,151.0,24.472,-0.67,297850000.0,43930000.0,12170000.0,"Privacy, Cryptocurrencies, DAO, Made in America"
SFP,152.0,0.59309,-1.25,296550000.0,9230000.0,500000000.0,Payments
FARTCOIN,153.0,0.29331,5.79,293310000.0,193830000.0,1000000000.0,Memes
KSM,154.0,18.018,-2.29,291830000.0,11800000.0,16200000.0,"Smart contract platforms, Made in America"
SUPER,155.0,0.57963,-2.94,291610000.0,19820000.0,503100000.0,"Gaming, NFTs & Collectibles"
TFUEL,156.0,0.04242,-0.33,291230000.0,6120000.0,6870000000.0,"Smart contract platforms, Distributed computing & Storage, Social, media & Content, Metaverse, DePIN, Made in America"
MX,157.0,3.0404,-0.37,288700000.0,24590000.0,94950000.0,Centralized-exchange
BNX,158.0,0.73139,-12.32,272010000.0,62740000.0,371900000.0,"Gaming, NFTs & Collectibles, Metaverse, Marketplace, Web3"
CKB,159.0,0.0057761,-6.15,266130000.0,15590000.0,46070000000.0,"Smart contract platforms, Scaling"
NOT,160.0,0.0025935,-1.47,265720000.00000003,86470000.0,102460000000.0,"Memes, Gaming, Web3, Tap to earn"
BLUR,161.0,0.11643,-3.3,260110000.0,23300000.0,2230000000.0,"NFTs & Collectibles, Made in America"
SATS,162.0,1.2e-07,-0.69,258720000.00000003,18730000.0,2100000000000000.0,—
ASTR,163.0,0.033302,-3.34,253430000.0,13210000.0,7610000000.0,"Smart contract platforms, Interoperability, Scaling, Web3, Layer 1"
ROSE,164.0,0.035675,-2.06,252010000.0,17670000.0,7060000000.0,"Privacy, Smart contract platforms, Data management & AI, Layer 1"
ZIL,165.0,0.012706,-2.0,249200000.0,15000000.0,19610000000.0,"Smart contract platforms, Layer 1"
SAFE,166.0,0.46847,-2.9,247080000.0,10530000.0,527419999.99999994,Payments
QTUM,167.0,2.2993,-2.66,242690000.0,42830000.0,105550000.0,Smart contract platforms
BAT,168.0,0.15938,-0.88,238380000.0,15930000.0,1500000000.0,"Smart contract platforms, Data management & AI, Interoperability, Social, media & Content, Marketing, Web3, Made in America"
ZRO,169.0,2.1572,-3.8,237290000.0,32270000.000000004,110000000.0,Interoperability
LPT,170.0,6.0479,-3.63,233460000.0,17930000.0,38600000.0,"Distributed computing & Storage, Data management & AI, Social, media & Content, Web3, DePIN"
ZKJ,171.0,2.0428,-0.81,229820000.0,6370000.0,112500000.0,Interoperability
ZRX,172.0,0.27105,-3.14,229960000.0,30710000.0,848400000.0,"Decentralized exchange, DeFi, DAO, Made in America"
VTHO,173.0,0.0026293,-3.46,228630000.0,16579999.999999998,86950000000.0,Smart contract platforms
POPCAT,174.0,0.23171,4.85,227070000.0,62390000.0,979970000.0,Memes
ATH,175.0,0.033615,-7.61,225140000.0,18150000.0,6700000000.0,"Distributed computing & Storage, Data management & AI, DePIN"
WEMIX,176.0,0.52409,15.49,219070000.0,3850000.0,418000000.0,"Gaming, Scaling, Marketplace"
HOT,177.0,0.0012754,0.04,223160000.0,11440000.0,174970000000.0,"Developments tools, Distributed computing & Storage, DePIN"
XCH,178.0,15.87,-3.36,221510000.0,11240000.0,13960000.0,"Smart contract platforms, Layer 1"
MASK,179.0,2.1956,-0.21,219560000.0,26620000.0,100000000.0,"Privacy, Social, media & Content, Web3"
ACH,180.0,0.024754,-6.63,217170000.0,30810000.0,8770000000.0,Payments
ID,181.0,0.23869,-1.91,214370000.0,13280000.0,898110000.0,"Identity, Web3"
ORDI,182.0,10.126,-5.4,212650000.0,77970000.0,21000000.0,NFTs & Collectibles
CELO,183.0,0.3697,-3.11,208980000.0,18010000.0,565270000.0,"Smart contract platforms, Payments, Layer 1, Made in America"
CVX,184.0,2.116,-5.85,208750000.0,13250000.0,98650000.0,DeFi
BABYDOGE,185.0,0.0,-2.31,207670000.0,20820000.0,1.6371227e+17,"Memes, Decentralized exchange, Gaming, Data management & AI, NFTs & Collectibles, Interoperability, Payments, Social, media & Content, Marketing, Loyalty & Rewards, DeFi, Marketplace, Web3, Tap to earn"
OSMO,186.0,0.28772,-0.25,205500000.0,10130000.0,714230000.0,"Smart contract platforms, Decentralized exchange"
MOG,187.0,5.2e-07,-1.88,204620000.0,11570000.0,390570000000000.0,Memes
GAS,188.0,3.1374,-2.4,203910000.0,5380000.0,64989999.99999999,"Cryptocurrencies, Payments"
DCR,189.0,11.87,-0.89,197800000.0,2100000.0,16660000.0,"Cryptocurrencies, DAO"
DRIFT,190.0,0.68066,-5.75,195990000.0,40400000.0,287950000.0,"Decentralized exchange, Derivatives"
R,191.0,0.69719,-14.67,195210000.0,103840000.0,280000000.0,—
MOCA,192.0,0.1012,-0.97,193760000.0,25750000.0,1910000000.0,"NFTs & Collectibles, Metaverse"
SC,193.0,0.0034309,-2.0,192220000.0,17540000.0,56030000000.0,"Distributed computing & Storage, Web3, DePIN"
ETHFI,194.0,0.82616,-3.61,191390000.0,69840000.0,231670000.0,DeFi
ONE,195.0,0.013254,-1.04,191730000.0,16270000.0,14470000000.0,"Smart contract platforms, Layer 1"
ANKR,196.0,0.018901,-2.91,189010000.0,11400000.0,10000000000.0,"Distributed computing & Storage, Derivatives, Enterprise solutions, Web3, DePIN, Made in America"
PNUT,197.0,0.19271,-4.92,192680000.0,208370000.0,999850000.0,Memes
MEW,198.0,0.0020958,-2.26,186290000.0,19040000.0,88890000000.0,Memes
RVN,199.0,0.012529,-4.48,186660000.0,9180000.0,14900000000.0,"Cryptocurrencies, DeFi, Made in America"
SUSHI,200.0,0.69906,-4.61,186670000.0,36840000.0,267040000.00000003,"Decentralized exchange, DeFi, DAO"
STETH,201.0,2190.5,-0.94,20540000000.0,54930000.0,9380000.0,"Derivatives, DeFi"
SMART,202.0,0.001767,0.14,15900000000.0,483050.0,9000000000000.0,Smart contract platforms
TLC,203.0,125.42,-4.36,12540000000.0,575640.0,100000000.0,—
WBTC,204.0,88077.82,-1.52,11380000000.0,271780000.0,129180.0,"Wrapped Tokens, Cryptocurrencies"
EDLC,205.0,4.266,-1.12,11300000000.0,10350.0,2650000000.0,"Stablecoins, Asset-backed Stablecoins"
WSTETH,206.0,2621.62,-0.84,9570000000.0,13340000.0,3650000.0,Derivatives
USDS,207.0,0.99806,-0.05,8240000000.0,14040000.0,8260000000.0,"Stablecoins, Asset-backed Stablecoins"
WETH,208.0,2198.58,-1.05,7420000000.0,792280000.0,3380000.0,Wrapped Tokens
WBETH,209.0,2329.62,-0.9,4690000000.0,10630000.0,2009999.9999999998,Derivatives
WEETH,210.0,2324.24,-0.93,4440000000.0,2380000.0,1910000.0,"Wrapped Tokens, DeFi"
ZETRIX,211.0,15.982,1.77,3610000000.0,603070.0,225780000.0,—
SUSDE,212.0,1.1581,0.08,3470000000.0,11180000.0,3000000000.0,"Stablecoins, Asset-backed Stablecoins"
NXQ,213.0,135.73,-0.22,2850000000.0,211470.0,21000000.0,—
WBT,214.0,29.658,-2.05,2570000000.0,53810000.0,86610000.0,—
JITOSOL,215.0,169.52,-1.23,2320000000.0,34430000.0,13700000.0,Derivatives
CBBTC,216.0,88196.02,-1.61,2300000000.0,153950000.0,26080.0,Wrapped Tokens
L1X,217.0,12.183,0.22,2230000000.0,60750.0,182820000.0,—
RYO,218.0,9.813,-3.17,2150000000.0,2750000.0,218800000.0,—
LBTC,219.0,88284.16,-1.56,1810000000.0,1050000.0,20490.0,—
FTN,220.0,3.9921,-0.15,1740000000.0,121440000.0,436260000.0,—
HTX,221.0,1.74e-06,-1.87,1740000000.0,25120000.0,999990000000000.0,Centralized-exchange
LEMX,222.0,49.589,5.62,1740000000.0,848810.0,35000000.0,—
MRS,223.0,20.011,44.76,1690000000.0,6910.0,84240000.0,—
JSET,224.0,3.9575,-12.55,1390000000.0,53010.0,350000000.0,—
SDAI,225.0,1.1493,-0.05,1300000000.0,7780000.0,1130000000.0,"Stablecoins, Asset-backed Stablecoins"
BIT,226.0,0.7073,-8.3,1300000000.0,7920.0,1840000000.0,DAO
RSETH,227.0,2276.33,-0.74,1250000000.0,377310.0,547640.0,Derivatives
JSM,228.0,0.00050499,0.62,1210000000.0,17260.0,2400000000000.0,—
SKY,229.0,0.053414,-6.32,1200000000.0,4890000.0,22400000000.0,"Cryptocurrencies, Lending & Borrowing, DAO"
RETH,230.0,2469.49,-0.72,1110000000.0,832100.0,450850.0,Derivatives
USD0,231.0,0.99768,-0.02,1040000000.0,31990000.0,1040000000.0,"Stablecoins, Asset-backed Stablecoins"
BNSOL,232.0,148.57,-1.24,1020000000.0,2450000.0,6840000.0,—
HUGE,233.0,0.0012802,-0.05,994720000.0,7490000.0,777000000000.0,—
METH,234.0,2318.35,-0.95,987930000.0,12690000.0,426130.0,Derivatives
ZBU,235.0,3.5486,0.18,918980000.0,1200000.0,258970000.00000003,Loyalty & Rewards
SOLVBTCBBN,236.0,88026.21,-1.61,899970000.0,1550.0,10220.0,—
DHN,237.0,49.291,21.05,841650000.0,6450000.0,17080000.0,—
TEL,238.0,0.0079458,-6.94,745950000.0,5090000.0,93880000000.0,"Cryptocurrencies, Payments, Made in America"
MSOL,239.0,182.06,-1.34,702820000.0,10770000.0,3860000.0,"Derivatives, DeFi"
EZETH,240.0,2277.99,-0.71,698270000.0,328130.0,306530.0,Derivatives
SUT,241.0,3.5759,-1.13,673710000.0,1330000.0,188400000.0,—
FLZ,242.0,1.3769,2.39,649720000.0,1700000.0,471870000.0,—
ULTIMA,243.0,16595.18,-1.6,620810000.0,30490000.0,37410.0,Web3
NEW,244.0,0.012453,-7.76,591770000.0,35900000.0,47520000000.0,"Enterprise solutions, Marketplace"
CMETH,245.0,2322.09,-0.79,504950000.0,20000000.0,217450.0,Derivatives
BDX,246.0,0.072359,-0.68,500300000.0,3330000.0,6910000000.0,"Privacy, Data management & AI, Web3, DePIN"
FRAX,247.0,0.99612,-0.02,495210000.0,6810000.0,497140000.0,"Stablecoins, Algorithmic Stablecoins, Seigniorage, Lending & Borrowing, DeFi"
CHEEL,248.0,7.7578,-1.22,440690000.0,5100000.0,56810000.0,—
KLAY,249.0,0.11564,-2.45,439860000.0,293260.0,3800000000.0,"Smart contract platforms, Gaming, Metaverse, Layer 1"
TBTC,250.0,88125.99,-1.64,403920000.0,1370000.0,4580.0,—
TCAPY,251.0,0.0037037,-0.51,394670000.0,603640.0,106560000000.0,Memes
APEPE,252.0,1.87e-06,5.26,392070000.0,4930000.0,210000000000000.0,Memes
USDY,253.0,1.0809,0.02,382610000.0,18110000.0,353970000.0,Stablecoins
MSQ,254.0,13.415,2.29,335380000.0,4050000.0,25000000.0,—
CBETH,255.0,2389.32,-0.96,329020000.0,1360000.0,137710.0,Derivatives
