Name,Rank,Price,24h Change,Market Cap,Volume,Circ_Supply,Category
FIL,47.0,0.18514450000000002,1.54,1.96,140.71,642.44,"Distributed computing & Storage, Data management & AI, Web3, DePIN, Made in America"
KAS,48.0,0.075058,0.29,1.94,61.34,25.82,"Cryptocurrencies, Layer 1"
GT,49.0,0.18514450000000002,0.85,1.8,14.01,85.83,Centralized-exchange
ARB,50.0,0.18514450000000002,4.47,1.77,208.11,4.42,"Scaling, Web3, DAO"
TIA,51.0,0.18514450000000002,3.97,1.78,97.33,551.72,—
ATOM,52.0,0.18514450000000002,0.32,1.67,105.95,390.93,"Smart contract platforms, Interoperability, Layer 1"
JUP,53.0,0.18514450000000002,4.16,1.63,103.39,2.69,"Decentralized exchange, Derivatives, Interoperability, DeFi"
OP,54.0,0.18514450000000002,2.46,1.56,172.18,1.62,"Scaling, Made in America"
S,55.0,0.18514450000000002,9.52,1.56,180.69,2.88,Layer 1
DEXE,56.0,0.18514450000000002,4.37,1.53,13.17,83.73,"Data management & AI, Asset management, DeFi"
FET,57.0,0.18514450000000002,2.54,1.49,131.18,2.39,"Data management & AI, Interoperability, Layer 1"
KCS,58.0,0.18514450000000002,0.92,1.41,1.44,122.61,Centralized-exchange
IP,59.0,0.18514450000000002,1.45,1.34,153.25,250.0,—
ENA,60.0,0.18514450000000002,3.93,1.22,438.92500000000007,3.22,DeFi
INJ,61.0,0.18514450000000002,3.22,1.15,107.41,98.97,"Smart contract platforms, Data management & AI, Interoperability, DeFi, Web3, Layer 1, Made in America"
XDC,62.0,0.073151,1.88,1.15,29.59,15.69,"Smart contract platforms, Enterprise solutions, Layer 1"
MOVE,63.0,0.18514450000000002,15.04,1.13,341.09,2.4,"Layer 1, Made in America"
IMX,64.0,0.18514450000000002,3.78,1.09,34.05,1.77,"Developments tools, Gaming, NFTs & Collectibles, Scaling, Marketplace"
MKR,65.0,0.18514450000000002,6.47,1.09,117.13,734.485,"Lending & Borrowing, DeFi, DAO, Made in America"
STX,66.0,0.18514450000000002,2.44,1.08,50.82,1.52,"Smart contract platforms, NFTs & Collectibles, DeFi, Metaverse, Web3, Made in America"
SEI,67.0,0.18514450000000002,2.64,1.05,109.94,4.66,"Developments tools, Layer 1, Made in America"
THETA,68.0,0.18514450000000002,3.01,1.05,15.99,1.0,"Smart contract platforms, Distributed computing & Storage, Data management & AI, Enterprise solutions, Social, media & Content, Web3, Layer 1, DePIN, Made in America"
WLD,69.0,0.18514450000000002,2.46,1.04,166.41,1.08,"Privacy, Identity, Made in America"
LDO,70.0,0.18514450000000002,2.42,1.03,89.36,734.485,"Derivatives, DeFi, DAO"
GRT,71.0,0.10686,1.72,1.02,48.65,9.55,"Data management & AI, Enterprise solutions, Web3, Made in America"
QNT,72.0,0.18514450000000002,7.81,1.0,33.05,12.07,Interoperability
FLR,73.0,0.016528,2.79,385.96,9.31,59.13,"Developments tools, Interoperability, Layer 1"
BONK,74.0,0.011323,0.18,385.96,99.43,77.73,"Memes, Made in America"
JASMY,75.0,0.016934,4.45,385.96,41.76,49.44,Internet of things
EOS,76.0,0.18514450000000002,3.13,385.96,81.25,1.55,"Smart contract platforms, Made in America"
XTZ,77.0,0.18514450000000002,0.26,385.96,24.55,1.03,"Smart contract platforms, Layer 1, Made in America"
JTO,78.0,0.18514450000000002,4.82,385.96,89.41,301.5,"Derivatives, DeFi, DAO"
IOTA,79.0,0.18514450000000002,4.27,385.96,37.68,3.67,"Cryptocurrencies, Internet of things, DePIN"
PYUSD,80.0,0.18514450000000002,0.05,385.96,128.09,734.485,"Stablecoins, Asset-backed Stablecoins"
SAND,81.0,0.18514450000000002,0.98,385.96,74.4,2.46,"Gaming, NFTs & Collectibles, Metaverse, Marketplace"
BERA,82.0,0.18514450000000002,2.1,385.96,232.29,107.48,Layer 1
ENS,83.0,0.18514450000000002,0.76,385.96,73.84,35.6,"Identity, Web3, DAO"
NEXO,84.0,0.18514450000000002,1.73,385.96,9.37,646.15,"Lending & Borrowing, Payments"
XAUT,85.0,0.18514450000000002,0.13,385.96,3.92,246.52,Asset-backed Tokens
BTT,86.0,0.011323,1.54,385.96,35.88,734.485,"Distributed computing & Storage, Web3, DePIN"
BSV,87.0,0.18514450000000002,4.35,385.96,66.01,19.83,"Cryptocurrencies, Scaling"
FLOKI,88.0,0.011323,2.95,385.96,89.73,9.63,"Memes, Gaming, Metaverse"
GALA,89.0,0.018417,0.12,385.96,71.44,37.84,"Gaming, NFTs & Collectibles, Made in America"
KAIA,90.0,0.11562,2.57,385.96,13.28,5.96,"Enterprise solutions, Layer 1"
FLOW,91.0,0.18514450000000002,4.36,385.96,36.92,1.57,"Smart contract platforms, NFTs & Collectibles, Sports, Layer 1"
PYTH,92.0,0.18034,1.78,385.96,27.9,3.62,"Oracles, Interoperability"
NEO,93.0,0.18514450000000002,1.88,385.96,26.58,70.54,"Smart contract platforms, Enterprise solutions"
PAXG,94.0,0.18514450000000002,0.11,385.96,31.9,209.56,Asset-backed Tokens
RAY,95.0,0.18514450000000002,5.16,385.96,48.45,290.85,"Decentralized exchange, DeFi"
HNT,96.0,0.18514450000000002,0.48,385.96,7.69,179.02,"Internet of things, Enterprise solutions, Web3, DePIN, Made in America"
EGLD,97.0,0.18514450000000002,4.54,385.96,23.99,27.95,"Smart contract platforms, Gaming, Distributed computing & Storage, Identity, Scaling, Enterprise solutions, Payments, Loyalty & Rewards, DeFi, Metaverse, Web3, Layer 1, DePIN"
RON,98.0,0.18514450000000002,2.2,385.96,10.07,619.39,"Smart contract platforms, Gaming, NFTs & Collectibles, Layer 1"
WIF,99.0,0.18514450000000002,2.58,385.96,360.26,734.485,Memes
AXS,100.0,0.18514450000000002,1.52,385.96,31.67,159.23,"Gaming, NFTs & Collectibles, Metaverse"
CRV,101.0,0.18514450000000002,4.3,385.96,92.02,1.29,"Decentralized exchange, DeFi, DAO"
MANA,102.0,0.18514450000000002,4.33,385.96,45.12,1.94,"Gaming, NFTs & Collectibles, Metaverse"
ZEC,103.0,0.18514450000000002,7.35,385.96,63.64,15.89,"Privacy, Cryptocurrencies, Layer 1, Made in America"
GRASS,104.0,0.18514450000000002,9.56,385.96,56.91,243.91,"Data management & AI, DePIN"
STRK,105.0,0.18514450000000002,0.29,385.96,34.24,2.74,"Scaling, Web3"
VIRTUAL,106.0,0.18514450000000002,10.72,385.96,94.41,649.46,"Data management & AI, Metaverse"
CAKE,107.0,0.18514450000000002,2.45,385.96,41.68,289.29,"Decentralized exchange, DeFi"
FTT,108.0,0.18514450000000002,0.37,385.96,16.37,328.9,"Centralized-exchange, Derivatives"
TUSD,109.0,0.18514450000000002,0.01,385.96,53.82,495.52,"Stablecoins, Asset-backed Stablecoins"
CFX,110.0,0.09885,3.42,385.96,33.59,4.93,"Smart contract platforms, Interoperability, DeFi, Web3"
DYDX,111.0,0.18514450000000002,0.46,385.96,22.78,734.485,"Decentralized exchange, Made in America"
AERO,112.0,0.18514450000000002,0.5,385.96,41.31,734.485,"Decentralized exchange, DeFi, Made in America"
XCN,113.0,0.01464,6.0,385.96,51.65,32.59,"Enterprise solutions, Made in America"
AR,114.0,0.18514450000000002,4.81,385.96,26.07,65.65,"Distributed computing & Storage, Web3, DePIN"
KAVA,115.0,0.18514450000000002,3.82,385.96,21.47,1.08,"Smart contract platforms, Web3, Layer 1"
MATIC,116.0,0.18514450000000002,2.25,385.96,4.03,1.91,Scaling
CORE,117.0,0.18514450000000002,4.42,385.96,33.06,734.485,"Scaling, Web3, DAO"
XEC,118.0,0.011323,2.92,385.96,33.89,19.83,"Cryptocurrencies, Layer 1"
CHZ,119.0,0.04782,1.75,385.96,58.46,9.45,"Loyalty & Rewards, Sports, Layer 1"
NFT,120.0,0.011323,1.39,385.96,34.3,734.485,"NFTs & Collectibles, Marketplace"
SPX,121.0,0.18514450000000002,1.42,385.96,21.04,734.485,Memes
COMP,122.0,0.18514450000000002,6.02,385.96,29.46,8.87,"Lending & Borrowing, DeFi, DAO, Made in America"
RUNE,123.0,0.18514450000000002,0.77,385.96,187.59,351.84,"Decentralized exchange, DeFi, Layer 1"
TWT,124.0,0.18514450000000002,3.67,385.96,15.53,416.65,Payments
APE,125.0,0.18514450000000002,1.66,385.96,60.9,734.485,NFTs & Collectibles
MELANIA,126.0,0.18514450000000002,5.11,385.96,26.98,537.31,"Memes, Made in America"
BRETT,127.0,0.041115,2.23,385.96,27.53,9.91,Memes
PENDLE,128.0,0.18514450000000002,2.28,385.96,49.24,165.71,"Social, media & Content, DeFi, Web3"
KAITO,129.0,0.18514450000000002,9.44,385.96,365.53,241.39,—
PENGU,130.0,0.006277,4.98,385.96,54.99,62.86,"Memes, NFTs & Collectibles, Made in America"
AXL,131.0,0.18514450000000002,6.56,385.96,48.35,734.485,"Interoperability, Made in America"
DEEP,132.0,0.1278,0.45,378.93,24.64,2.96,"Decentralized exchange, DeFi"
AIOZ,133.0,0.18514450000000002,4.22,379.13,12.37,1.16,"Distributed computing & Storage, Data management & AI, Web3, Layer 1, DePIN"
MORPHO,134.0,0.18514450000000002,5.95,379.39,18.58,235.93,"Lending & Borrowing, DeFi"
AMP,135.0,0.0044572,2.21,375.44,12.27,84.23,"Payments, DeFi, Made in America"
RSR,136.0,0.0065063,3.88,362.58,28.05,55.73,"Cryptocurrencies, Made in America"
GNO,137.0,0.18514450000000002,1.18,361.75,4.42,2.59,"Prediction markets, DeFi, Layer 1"
MINA,138.0,0.18514450000000002,1.93,353.1,18.34,1.22,"Smart contract platforms, Layer 1"
LUNC,139.0,0.011323,2.25,348.79,13.79,5.46,"Smart contract platforms, Payments, Layer 1"
BEAM,140.0,0.0067525,3.12,334.02,20.19,49.47,Gaming
AKT,141.0,0.18514450000000002,3.98,334.57,5.9,248.29,"Distributed computing & Storage, Data management & AI, Web3, DePIN, Made in America"
EIGEN,142.0,0.18514450000000002,6.35,326.81,53.92,234.98,Made in America
1INCH,143.0,0.18514450000000002,0.86,317.83,24.07,1.38,"Decentralized exchange, Payments, DeFi"
JST,144.0,0.032065,1.42,317.44,38.31,9.9,DeFi
ZK,145.0,0.083986,2.26,308.65,33.14,3.67,—
W,146.0,0.10404,6.01,300.86,28.27,2.89,"NFTs & Collectibles, Interoperability, DeFi, Web3, DAO"
AI16Z,147.0,0.18514450000000002,5.42,302.15,70.07,1.1,"Memes, Data management & AI"
CTC,148.0,0.18514450000000002,1.02,297.62,18.4,429.42,Lending & Borrowing
SNX,149.0,0.18514450000000002,7.43,299.02,19.72,339.47,"Decentralized exchange, Derivatives, DeFi, DAO"
GLM,150.0,0.18514450000000002,4.71,297.53,17.58,1.0,"Distributed computing & Storage, Data management & AI, Payments, Web3, DePIN"
DASH,151.0,0.18514450000000002,0.67,297.85,43.93,12.17,"Privacy, Cryptocurrencies, DAO, Made in America"
SFP,152.0,0.18514450000000002,1.25,296.55,9.23,500.0,Payments
FARTCOIN,153.0,0.18514450000000002,5.79,293.31,193.83,1.0,Memes
KSM,154.0,0.18514450000000002,2.29,291.83,11.8,16.2,"Smart contract platforms, Made in America"
SUPER,155.0,0.18514450000000002,2.94,291.61,19.82,503.1,"Gaming, NFTs & Collectibles"
TFUEL,156.0,0.04242,0.33,291.23,6.12,6.87,"Smart contract platforms, Distributed computing & Storage, Social, media & Content, Metaverse, DePIN, Made in America"
MX,157.0,0.18514450000000002,0.37,288.7,24.59,94.95,Centralized-exchange
BNX,158.0,0.18514450000000002,12.32,272.01,62.74,371.9,"Gaming, NFTs & Collectibles, Metaverse, Marketplace, Web3"
CKB,159.0,0.0057761,6.15,266.13,15.59,46.07,"Smart contract platforms, Scaling"
NOT,160.0,0.0025935,1.47,265.72,86.47,102.46,"Memes, Gaming, Web3, Tap to earn"
BLUR,161.0,0.11643,3.3,260.11,23.3,2.23,"NFTs & Collectibles, Made in America"
SATS,162.0,0.011323,0.69,258.72,18.73,734.485,—
ASTR,163.0,0.033302,3.34,253.43,13.21,7.61,"Smart contract platforms, Interoperability, Scaling, Web3, Layer 1"
ROSE,164.0,0.035675,2.06,252.01,17.67,7.06,"Privacy, Smart contract platforms, Data management & AI, Layer 1"
ZIL,165.0,0.012706,2.0,249.2,15.0,19.61,"Smart contract platforms, Layer 1"
SAFE,166.0,0.18514450000000002,2.9,247.08,10.53,527.42,Payments
QTUM,167.0,0.18514450000000002,2.66,242.69,42.83,105.55,Smart contract platforms
BAT,168.0,0.15938,0.88,238.38,15.93,1.5,"Smart contract platforms, Data management & AI, Interoperability, Social, media & Content, Marketing, Web3, Made in America"
ZRO,169.0,0.18514450000000002,3.8,237.29,32.27,110.0,Interoperability
LPT,170.0,0.18514450000000002,3.63,233.46,17.93,38.6,"Distributed computing & Storage, Data management & AI, Social, media & Content, Web3, DePIN"
ZKJ,171.0,0.18514450000000002,0.81,229.82,6.37,112.5,Interoperability
ZRX,172.0,0.18514450000000002,3.14,229.96,30.71,734.485,"Decentralized exchange, DeFi, DAO, Made in America"
VTHO,173.0,0.0026293,3.46,228.63,16.58,86.95,Smart contract platforms
POPCAT,174.0,0.18514450000000002,4.85,227.07,62.39,734.485,Memes
ATH,175.0,0.033615,7.61,225.14,18.15,6.7,"Distributed computing & Storage, Data management & AI, DePIN"
WEMIX,176.0,0.18514450000000002,15.49,219.07,3.85,418.0,"Gaming, Scaling, Marketplace"
HOT,177.0,0.0012754,0.04,223.16,11.44,174.97,"Developments tools, Distributed computing & Storage, DePIN"
XCH,178.0,0.18514450000000002,3.36,221.51,11.24,13.96,"Smart contract platforms, Layer 1"
MASK,179.0,0.18514450000000002,0.21,219.56,26.62,100.0,"Privacy, Social, media & Content, Web3"
ACH,180.0,0.024754,6.63,217.17,30.81,8.77,Payments
ID,181.0,0.18514450000000002,1.91,214.37,13.28,734.485,"Identity, Web3"
ORDI,182.0,0.18514450000000002,5.4,212.65,77.97,21.0,NFTs & Collectibles
CELO,183.0,0.18514450000000002,3.11,208.98,18.01,565.27,"Smart contract platforms, Payments, Layer 1, Made in America"
CVX,184.0,0.18514450000000002,5.85,208.75,13.25,98.65,DeFi
OSMO,186.0,0.18514450000000002,0.25,205.5,10.13,714.23,"Smart contract platforms, Decentralized exchange"
MOG,187.0,0.011323,1.88,204.62,11.57,390.57,Memes
GAS,188.0,0.18514450000000002,2.4,203.91,5.38,64.99,"Cryptocurrencies, Payments"
DCR,189.0,0.18514450000000002,0.89,197.8,2.1,16.66,"Cryptocurrencies, DAO"
DRIFT,190.0,0.18514450000000002,5.75,195.99,40.4,287.95,"Decentralized exchange, Derivatives"
R,191.0,0.18514450000000002,14.67,195.21,103.84,280.0,—
MOCA,192.0,0.1012,0.97,193.76,25.75,1.91,"NFTs & Collectibles, Metaverse"
SC,193.0,0.0034309,2.0,192.22,17.54,56.03,"Distributed computing & Storage, Web3, DePIN"
ETHFI,194.0,0.18514450000000002,3.61,191.39,69.84,231.67,DeFi
ONE,195.0,0.013254,1.04,191.73,16.27,14.47,"Smart contract platforms, Layer 1"
ANKR,196.0,0.018901,2.91,189.01,11.4,10.0,"Distributed computing & Storage, Derivatives, Enterprise solutions, Web3, DePIN, Made in America"
PNUT,197.0,0.18514450000000002,4.92,192.68,208.37,734.485,Memes
MEW,198.0,0.0020958,2.26,186.29,19.04,88.89,Memes
RVN,199.0,0.012529,4.48,186.66,9.18,14.9,"Cryptocurrencies, DeFi, Made in America"
SUSHI,200.0,0.18514450000000002,4.61,186.67,36.84,267.04,"Decentralized exchange, DeFi, DAO"
STETH,201.0,0.18514450000000002,0.94,20.54,54.93,9.38,"Derivatives, DeFi"
SMART,202.0,0.001767,0.14,15.9,438.92500000000007,9.0,Smart contract platforms
TLC,203.0,0.18514450000000002,4.36,12.54,438.92500000000007,100.0,—
WBTC,204.0,0.18514450000000002,1.52,11.38,271.78,129.18,"Wrapped Tokens, Cryptocurrencies"
EDLC,205.0,0.18514450000000002,1.12,11.3,10.35,2.65,"Stablecoins, Asset-backed Stablecoins"
WSTETH,206.0,0.18514450000000002,0.84,9.57,13.34,3.65,Derivatives
USDS,207.0,0.18514450000000002,0.05,8.24,14.04,8.26,"Stablecoins, Asset-backed Stablecoins"
WETH,208.0,0.18514450000000002,1.05,7.42,438.92500000000007,3.38,Wrapped Tokens
WBETH,209.0,0.18514450000000002,0.9,4.69,10.63,2.01,Derivatives
WEETH,210.0,0.18514450000000002,0.93,4.44,2.38,1.91,"Wrapped Tokens, DeFi"
ZETRIX,211.0,0.18514450000000002,1.77,3.61,438.92500000000007,225.78,—
SUSDE,212.0,0.18514450000000002,0.08,3.47,11.18,3.0,"Stablecoins, Asset-backed Stablecoins"
NXQ,213.0,0.18514450000000002,0.22,2.85,211.47,21.0,—
WBT,214.0,0.18514450000000002,2.05,2.57,53.81,86.61,—
JITOSOL,215.0,0.18514450000000002,1.23,2.32,34.43,13.7,Derivatives
CBBTC,216.0,0.18514450000000002,1.61,2.3,153.95,26.08,Wrapped Tokens
L1X,217.0,0.18514450000000002,0.22,2.23,60.75,182.82,—
RYO,218.0,0.18514450000000002,3.17,2.15,2.75,218.8,—
LBTC,219.0,0.18514450000000002,1.56,1.81,1.05,20.49,—
FTN,220.0,0.18514450000000002,0.15,1.74,121.44,436.26,—
HTX,221.0,0.011323,1.87,1.74,25.12,734.485,Centralized-exchange
LEMX,222.0,0.18514450000000002,5.62,1.74,438.92500000000007,35.0,—
MRS,223.0,0.18514450000000002,44.76,1.69,6.91,84.24,—
JSET,224.0,0.18514450000000002,12.55,1.39,53.01,350.0,—
SDAI,225.0,0.18514450000000002,0.05,1.3,7.78,1.13,"Stablecoins, Asset-backed Stablecoins"
BIT,226.0,0.18514450000000002,8.3,1.3,7.92,1.84,DAO
RSETH,227.0,0.18514450000000002,0.74,1.25,377.31,547.64,Derivatives
JSM,228.0,0.00050499,0.62,1.21,17.26,2.4,—
SKY,229.0,0.053414,6.32,1.2,4.89,22.4,"Cryptocurrencies, Lending & Borrowing, DAO"
RETH,230.0,0.18514450000000002,0.72,1.11,438.92500000000007,450.85,Derivatives
USD0,231.0,0.18514450000000002,0.02,1.04,31.99,1.04,"Stablecoins, Asset-backed Stablecoins"
BNSOL,232.0,0.18514450000000002,1.24,1.02,2.45,6.84,—
HUGE,233.0,0.0012802,0.05,385.96,7.49,734.485,—
METH,234.0,0.18514450000000002,0.95,385.96,12.69,426.13,Derivatives
ZBU,235.0,0.18514450000000002,0.18,385.96,1.2,258.97,Loyalty & Rewards
SOLVBTCBBN,236.0,0.18514450000000002,1.61,385.96,1.55,10.22,—
DHN,237.0,0.18514450000000002,21.05,385.96,6.45,17.08,—
TEL,238.0,0.0079458,6.94,385.96,5.09,93.88,"Cryptocurrencies, Payments, Made in America"
MSOL,239.0,0.18514450000000002,1.34,385.96,10.77,3.86,"Derivatives, DeFi"
EZETH,240.0,0.18514450000000002,0.71,385.96,328.13,306.53,Derivatives
SUT,241.0,0.18514450000000002,1.13,385.96,1.33,188.4,—
FLZ,242.0,0.18514450000000002,2.39,385.96,1.7,471.87,—
ULTIMA,243.0,0.18514450000000002,1.6,385.96,30.49,37.41,Web3
NEW,244.0,0.012453,7.76,385.96,35.9,47.52,"Enterprise solutions, Marketplace"
CMETH,245.0,0.18514450000000002,0.79,385.96,20.0,217.45,Derivatives
BDX,246.0,0.072359,0.68,385.96,3.33,6.91,"Privacy, Data management & AI, Web3, DePIN"
FRAX,247.0,0.18514450000000002,0.02,385.96,6.81,497.14,"Stablecoins, Algorithmic Stablecoins, Seigniorage, Lending & Borrowing, DeFi"
CHEEL,248.0,0.18514450000000002,1.22,385.96,5.1,56.81,—
KLAY,249.0,0.11564,2.45,385.96,293.26,3.8,"Smart contract platforms, Gaming, Metaverse, Layer 1"
TBTC,250.0,0.18514450000000002,1.64,385.96,1.37,4.58,—
TCAPY,251.0,0.0037037,0.51,385.96,438.92500000000007,106.56,Memes
APEPE,252.0,0.011323,5.26,385.96,4.93,210.0,Memes
USDY,253.0,0.18514450000000002,0.02,382.61,18.11,353.97,Stablecoins
MSQ,254.0,0.18514450000000002,2.29,335.38,4.05,25.0,—
CBETH,255.0,0.18514450000000002,0.96,329.02,1.36,137.71,Derivatives
BZR,256.0,0.18514450000000002,0.78,308.21,1.17,11.67,—
SVTS,257.0,0.18514450000000002,1.64,300.94,331.11,1.0,—
SNEK,258.0,0.0040059,12.22,298.22,2.74,74.45,Memes
SEED,259.0,0.18514450000000002,6.02,297.28,306.04,275.62,—
DEUSD,260.0,0.18514450000000002,0.03,290.69,19.17,290.51,Stablecoins
PLUME,261.0,0.14416,2.09,288.32,85.7,2.0,Made in America
MARS,262.0,0.18514450000000002,8.5,287.72,2.05,260.0,Metaverse
EBTC,263.0,0.18514450000000002,1.49,279.57,396.55,3.16,—
WHITE,264.0,0.00041029,40.77,266.69,39.94,650.0,—
KET,265.0,0.18514450000000002,13.01,278.89,14.0,1.0,—
CHEX,266.0,0.18514450000000002,8.83,270.01,3.34,734.485,Decentralized exchange
USDA,267.0,0.18514450000000002,0.25,248.03,210.34,248.97,—
STIK,268.0,0.18514450000000002,0.82,244.59,34.43,47.01,—
LSETH,269.0,0.18514450000000002,1.47,240.35,257.42,102.27,Derivatives
SFRXETH,270.0,0.18514450000000002,0.44,235.33,87.86,96.33,Derivatives
AIC,271.0,0.18514450000000002,3.39,223.02,3.98,734.485,"Memes, Data management & AI"
BETH,272.0,0.18514450000000002,0.95,221.36,23.66,100.97,—
BORG,273.0,0.18514450000000002,0.1,212.22,1.29,734.485,Asset management
AGENTFUN,274.0,0.18514450000000002,12.56,200.0,104.9,100.0,—
VMC,275.0,0.18514450000000002,9.9,199.9,438.92500000000007,100.0,—
USDD,276.0,0.18514450000000002,0.05,199.55,342.53,199.61,"Stablecoins, Algorithmic Stablecoins"
TRIBE,277.0,0.18514450000000002,4.11,198.16,52.74,463.43,"DeFi, DAO"
WOO,278.0,0.09869,1.9,183.8,13.08,1.86,"Centralized-exchange, Decentralized exchange, DeFi"
ACT,279.0,0.18514450000000002,1.0,183.38,43.41,734.485,Memes
TURBO,280.0,0.0026534,1.06,183.08,48.34,69.0,"Memes, Data management & AI, NFTs & Collectibles, Web3"
GIGA,281.0,0.019642,3.46,182.72,8.07,9.3,Memes
ELF,282.0,0.18514450000000002,0.66,182.09,11.91,734.485,"Smart contract platforms, Distributed computing & Storage, Interoperability, Web3, DAO, Layer 1"
ENJ,283.0,0.10022,3.76,181.8,18.45,1.81,"Gaming, NFTs & Collectibles, Metaverse, Marketplace, Layer 1"
DOG,284.0,0.0018216,6.35,182.16,10.6,100.0,Memes
RLB,285.0,0.08216,0.31,181.14,1.15,2.2,Gambling
